"","democracy","sex","education","sub_income","left_right_scale","relig_authorities","army_coup","people_obey","national_pride","civil_rights","free_elections"
"1091","Fairly good","Male","0","2",4,3,4,6,2,4,9
"1092","Fairly good","Female","0","1",NA,5,5,10,1,8,9
"1093","Fairly good","Male","0","1",NA,0,5,9,2,7,8
"1094",NA,"Female","0","1",NA,1,1,10,2,6,10
"1095","Very bad","Female","0","2",NA,4,0,10,1,0,10
"1096",NA,"Female","0","2",NA,1,10,10,3,10,10
"1097","Fairly bad","Female","0","2",NA,3,8,8,1,10,10
"1098",NA,"Male","1","1",7,NA,3,8,2,NA,9
"1099","Fairly good","Female","0","1",NA,10,10,10,1,10,10
"1100","Fairly good","Female","1","2",7,2,9,10,2,6,8
"1101","Very good","Male","0","1",NA,1,8,7,2,8,10
"1102","Very good","Female","0","1",NA,8,10,10,2,NA,10
"1103","Fairly good","Male","1","2",NA,0,NA,8,2,10,10
"1104",NA,"Female","1","2",8,5,NA,7,NA,10,7
"1105",NA,"Female","1","2",NA,NA,NA,6,NA,10,5
"1106","Fairly bad","Male","0","2",6,4,8,7,2,5,6
"1107","Very bad","Female","0","2",7,7,9,6,2,2,4
"1108","Fairly bad","Male","0","3",NA,3,7,4,1,4,8
"1109","Very good","Female","0","2",7,8,3,7,2,8,4
"1110","Fairly bad","Male","0","2",7,4,7,7,1,5,10
"1111","Very bad","Male","0","2",6,8,6,7,2,4,3
"1112","Very bad","Male","0","2",7,6,5,6,2,9,3
"1113","Fairly good","Female","0","2",NA,0,0,5,1,6,10
"1114","Fairly good","Female","1","2",NA,0,0,10,2,6,9
"1115","Fairly good","Male","0","2",NA,0,0,8,2,6,10
"1116","Fairly good","Female","0","2",NA,0,0,8,2,NA,8
"1117","Fairly bad","Female","1",NA,NA,0,0,8,1,8,10
"1118","Fairly good","Male","0","2",10,7,7,7,1,6,8
"1119","Fairly good","Male","1","1",10,5,8,6,1,9,10
"1120",NA,"Male","0","2",8,6,8,9,2,7,10
"1121","Fairly good","Female","0","2",NA,1,1,10,2,10,10
"1122","Fairly good","Male","0","2",NA,1,1,10,2,10,10
"1123","Fairly good","Male","0","2",6,2,1,10,2,10,10
"1124","Fairly bad","Male","1","1",6,7,5,6,1,6,7
"1125","Fairly bad","Male","1","3",7,3,5,5,1,5,7
"1126","Fairly good","Male","1","2",4,5,4,5,1,7,8
"1127","Fairly good","Female","1","1",8,7,3,4,2,9,7
"1128",NA,"Male","0","1",NA,1,1,8,3,NA,2
"1129","Fairly bad","Female","0","1",5,1,1,7,2,9,8
"1130",NA,"Female","0","1",NA,2,2,7,1,9,7
"1131","Fairly good","Female","0","1",NA,1,10,NA,1,10,10
"1132","Fairly good","Female","0","1",7,5,6,6,2,6,6
"1133","Fairly good","Female","1","1",6,5,5,8,2,5,8
"1134","Fairly good","Male","1","3",7,1,3,8,1,10,10
"1135","Very good","Female","0","2",3,3,1,10,1,10,10
"1136","Fairly good","Male","0","2",6,6,6,6,2,6,7
"1137","Fairly good","Male","0","2",NA,6,7,8,1,9,9
"1138","Very good","Female","1","2",NA,5,7,8,2,10,9
"1139","Fairly good","Male","1","2",6,6,10,8,1,5,7
"1140","Fairly good","Male","1","2",NA,4,9,9,2,9,8
"1141","Very bad","Male","0","1",NA,1,5,10,4,10,10
"1142","Very good","Male","1","2",6,6,7,7,2,10,10
"1143","Fairly good","Female","0","2",NA,6,8,9,2,9,8
"1144","Fairly good","Female","0","2",NA,8,7,8,2,7,6
"1145","Very good","Female","1","2",5,7,5,8,2,7,6
"1146",NA,"Female","0",NA,NA,1,3,5,NA,10,10
"1147","Very good","Female","0","2",6,7,8,8,1,7,6
"1148","Very good","Female","0","2",9,6,7,6,1,5,5
"1149","Fairly good","Male","0","2",6,5,8,9,2,5,7
"1150","Fairly good","Male","1","2",NA,6,6,6,1,7,6
"1151","Fairly good","Female","1","1",NA,5,5,6,2,6,6
"1152","Very bad","Female","0","2",5,8,6,6,1,6,4
"1153","Fairly bad","Female","1","2",5,8,7,8,1,9,9
"1154","Very good","Female","1","2",3,5,10,10,1,10,10
"1155","Very good","Female","1","2",4,5,9,7,1,7,4
"1156","Very good","Female","0","2",NA,7,7,9,1,5,10
"1157","Very good","Female","1","2",3,0,7,NA,2,8,10
"1158","Fairly bad","Female","1","2",5,6,9,8,1,6,5
"1159","Fairly good","Female","1","2",NA,8,1,6,2,8,8
"1160","Very good","Female","0","1",NA,3,3,10,1,5,10
"1161",NA,"Male","1","2",8,6,6,6,2,6,6
"1162","Fairly good","Female","1","2",5,8,9,7,1,7,8
"1163","Very bad","Female","0","2",6,6,6,6,2,3,7
"1164","Very good","Female","1","2",6,5,7,6,2,4,7
"1165","Very bad","Female","0","2",NA,10,5,8,2,10,2
"1166","Fairly bad","Female","0","2",6,5,8,7,2,6,10
"1167","Fairly good","Male","1","2",NA,0,0,9,1,6,10
"1168","Fairly good","Male","0","2",NA,0,0,9,2,9,10
"1169","Fairly good","Female","1","1",5,1,1,2,1,5,10
"1170","Fairly good","Male","0","1",5,3,9,9,1,7,10
"1171","Very good","Female","1","2",NA,5,5,10,1,10,10
"1172","Fairly bad","Female","0","2",7,6,4,5,1,5,6
"1173",NA,"Male","0","1",NA,2,3,8,2,8,6
"1174","Fairly bad","Male","0","2",5,0,0,5,2,8,7
"1175","Fairly good","Male","0","2",NA,NA,10,10,NA,10,10
"1176","Fairly good","Female","1","2",5,0,10,10,1,10,10
"1177","Fairly good","Male","1","2",NA,NA,10,10,1,10,10
"1178","Fairly good","Female","0","2",NA,0,10,10,2,10,10
"1179","Fairly good","Female","1","2",NA,NA,10,5,1,10,10
"1180","Fairly good","Female","0","1",5,5,5,8,2,5,7
"1181","Fairly good","Male","0","1",5,5,5,5,2,5,9
"1182","Very good","Female","0","2",NA,1,5,9,1,7,10
"1183","Fairly good","Male","1","1",5,8,7,9,2,6,7
"1184","Very good","Female","1","2",NA,8,8,8,1,9,8
"1185","Fairly good","Female","0","1",8,5,6,4,2,9,5
"1186","Fairly good","Female","0","1",NA,10,NA,10,2,6,6
"1187","Fairly good","Female","0","1",7,6,8,8,1,5,9
"1188",NA,"Female","0","1",NA,10,7,3,1,8,5
"1189","Very good","Male","0","2",10,8,9,7,2,4,5
"1190","Very good","Male","1","2",6,4,5,6,2,5,8
"1191","Fairly good","Male","0","1",5,8,6,7,2,8,8
"1192","Very good","Female","1","2",8,6,0,5,1,10,10
"1193","Fairly good","Male","0","2",9,0,0,6,2,10,10
"1194",NA,"Male","1","2",10,7,5,10,2,10,10
"1195","Fairly good","Female","1","1",6,5,4,8,2,6,7
"1196",NA,"Male","0","1",NA,6,3,7,1,7,6
"1197","Fairly good","Female","0","1",NA,6,4,6,1,5,7
"1198","Fairly good","Female","0",NA,NA,0,5,5,1,5,5
"1199",NA,"Male","0",NA,NA,NA,5,5,1,5,NA
"1200","Fairly good","Male","0",NA,NA,NA,5,5,1,5,5
"1201","Fairly good","Male","1",NA,NA,0,NA,NA,1,10,10
"1202",NA,"Female","1","1",NA,5,1,1,NA,10,10
"1203","Fairly good","Male","0","1",NA,0,0,0,2,10,10
"1204","Fairly bad","Female","0","2",5,0,0,10,1,NA,10
"1205",NA,"Female","1","2",NA,NA,NA,10,1,10,10
"1206",NA,"Male","1","2",7,5,5,5,1,5,5
"1207",NA,"Male","1","2",10,6,8,8,2,8,5
"1208",NA,"Female","1","2",5,5,5,5,1,5,10
"1209",NA,"Male","0","2",5,7,6,7,2,8,6
"1210",NA,"Male","0","1",NA,1,3,8,2,6,5
"1211",NA,"Male","0","2",NA,1,5,8,2,10,9
"1212",NA,"Female","0","1",NA,NA,2,10,2,9,10
"1213","Fairly bad","Male","0","2",8,6,8,7,2,5,8
"1214","Fairly good","Female","0","2",6,10,6,8,2,10,1
"1215","Fairly good","Male","1","2",4,0,6,8,2,10,10
"1216","Fairly good","Female","1","2",NA,0,0,10,1,NA,10
"1217",NA,"Female","1","2",NA,2,0,10,2,NA,10
"1218","Fairly good","Female","1","2",NA,0,10,10,1,10,10
"1219","Fairly good","Female","0","2",NA,2,4,10,1,7,10
"1220","Fairly good","Female","0","2",7,0,NA,5,1,10,10
"1221",NA,"Female","0","2",NA,0,NA,5,2,10,10
"1222","Fairly good","Female","0","2",NA,NA,10,10,1,10,10
"1223","Very good","Female","0","1",NA,1,1,10,1,10,10
"1224","Fairly bad","Male","0","2",5,3,6,7,1,4,3
"1225","Fairly bad","Female","0","2",4,6,4,8,1,5,4
"1226","Very bad","Female","0","2",7,8,8,9,1,8,9
"1227",NA,"Female","0","2",NA,0,NA,5,1,10,10
"1228",NA,"Female","0","1",5,0,NA,NA,1,10,10
"1229","Fairly good","Female","1","1",5,5,5,10,1,10,10
"1230",NA,"Male","1","2",NA,1,NA,10,2,10,7
"1231","Very good","Female","1","2",5,2,0,0,4,5,8
"1232","Fairly good","Male","1","3",5,4,NA,5,2,10,9
"1233",NA,"Male","1",NA,NA,NA,NA,NA,NA,NA,NA
"1234",NA,"Female","0","1",5,3,NA,5,1,3,9
"1235","Fairly good","Female","1","2",5,7,2,5,2,4,4
"1236","Fairly good","Female","0","2",5,1,4,8,3,6,5
"1237","Fairly bad","Female","0","2",6,2,7,7,2,3,5
"1238","Fairly bad","Female","1","2",5,3,7,3,3,1,5
"1239","Very good","Male","0","2",6,2,5,4,1,2,7
"1240","Fairly bad","Male","0","2",6,7,4,4,2,2,3
"1241","Fairly good","Male","0","2",6,3,2,7,1,5,5
"1242","Fairly bad","Female","1","2",6,3,6,3,2,4,5
"1243","Very good","Female","0","1",5,8,5,4,1,7,3
"1244","Fairly bad","Female","0","2",5,3,3,4,2,7,5
"1245","Very good","Female","1","2",NA,6,6,7,2,8,8
"1246","Fairly good","Male","0","2",10,1,1,4,4,10,10
"1247","Very bad","Female","1","2",NA,7,4,6,1,6,6
"1248","Fairly bad","Female","0","1",6,3,3,4,2,3,3
"1249",NA,"Male","1","2",7,3,4,7,2,4,6
"1250","Fairly good","Female","1","2",6,10,3,2,1,6,2
"1251","Fairly bad","Male","0","2",6,7,5,7,2,8,8
"1252","Fairly bad","Male","1","3",6,5,7,6,2,6,10
"1253","Fairly bad","Female","0","2",3,6,8,5,1,5,10
"1254","Fairly good","Female","1","2",6,4,10,8,3,7,9
"1255","Fairly good","Female","0","2",10,10,7,10,1,7,10
"1256","Very good","Male","0","2",5,2,3,6,1,5,10
"1257","Very bad","Female","0","1",1,1,3,3,4,10,10
"1258","Very good","Female","0","2",1,1,10,10,1,10,1
"1259","Fairly good","Female","1","2",8,0,0,0,3,10,10
"1260","Fairly good","Female","1","1",NA,0,2,6,3,10,10
"1261","Very bad","Male","0","1",NA,1,10,1,4,10,NA
"1262","Fairly good","Female","1","1",NA,2,8,0,2,10,10
"1263","Fairly good","Male","0","1",NA,NA,1,7,1,10,10
"1264","Very good","Male","0","2",10,4,8,10,2,10,10
"1265","Fairly good","Female","0","1",5,5,6,10,1,10,10
"1266","Fairly good","Female","0","1",5,7,8,7,1,10,10
"1267",NA,"Male","0",NA,NA,NA,NA,9,2,8,10
"1268",NA,"Male","0",NA,NA,NA,NA,NA,1,10,10
"1269","Fairly good","Male","0","1",4,1,4,6,2,10,10
"1270","Very good","Female","1","2",NA,2,2,7,1,10,10
"1271","Very good","Male","0","2",7,3,6,7,2,9,10
"1272","Fairly good","Female","0","3",3,1,1,1,1,10,10
"1273","Fairly good","Male","0","1",2,1,7,7,2,10,10
"1274",NA,"Female","0","1",NA,NA,1,1,2,1,10
"1275",NA,"Female","0","1",5,7,9,6,2,NA,8
"1276",NA,"Female","1","1",NA,10,10,9,1,9,9
"1277","Very good","Male","0","1",5,6,6,6,1,7,7
"1278",NA,"Female","0","1",5,8,5,7,2,6,7
"1279",NA,"Female","1","2",6,6,6,8,1,8,7
"1280","Fairly good","Male","0","2",5,7,8,8,2,8,9
"1281","Fairly good","Female","1","2",10,6,7,8,1,8,8
"1282","Fairly good","Female","0","2",6,10,8,9,1,8,8
"1283",NA,"Female","1","1",4,4,6,7,1,7,10
"1284",NA,"Female","0","2",NA,5,2,6,3,6,5
"1285",NA,"Female","1","2",NA,5,5,10,3,10,9
"1286","Fairly bad","Female","0","3",7,7,7,6,3,4,10
"1287","Very good","Male","0","2",NA,NA,NA,NA,1,10,10
"1288","Fairly good","Female","0","2",5,9,10,10,2,9,9
"1289","Very good","Male","1","3",5,8,5,5,1,6,6
"1290","Fairly bad","Female","1","1",5,1,7,8,1,7,9
"1291","Fairly bad","Female","1","1",NA,1,1,1,1,1,10
"1292","Fairly good","Male","0","1",10,3,4,10,1,6,10
"1293",NA,"Female","1","1",10,4,6,8,1,8,10
"1294","Fairly bad","Female","0","2",5,4,7,9,1,6,5
"1295","Fairly good","Female","0","1",6,5,4,8,1,8,9
"1296","Very good","Female","0","1",5,2,4,6,1,7,7
"1297","Fairly bad","Female","0","1",3,3,9,4,1,2,7
"1298","Very bad","Female","0","1",5,3,5,3,2,7,8
"1299",NA,"Male","1",NA,5,1,0,7,2,10,10
"1300","Fairly bad","Male","0","1",5,4,4,6,2,9,8
"1301","Fairly bad","Female","1","2",10,7,3,3,NA,6,4
"1302","Fairly good","Female","0","1",5,2,5,4,2,8,2
"1303","Fairly good","Male","0","1",5,5,6,3,NA,8,1
"1304","Fairly bad","Female","1","1",6,3,7,8,2,8,2
"1305","Very good","Female","0","1",NA,2,NA,10,1,10,10
"1306","Very good","Male","0","2",4,1,3,10,1,10,10
"1307","Very good","Male","0","3",NA,NA,0,10,1,10,10
"1308","Fairly good","Female","0","2",7,8,9,9,2,8,7
"1309","Fairly bad","Male","1","2",7,8,4,6,1,6,7
"1310",NA,"Female","0","1",6,7,5,3,3,6,7
"1311","Fairly good","Female","1","2",6,3,7,6,NA,5,3
"1312","Fairly bad","Female","0","2",8,6,3,5,2,6,7
"1313","Fairly bad","Female","1","2",NA,1,10,5,2,10,10
"1314",NA,"Male","1","2",NA,NA,NA,NA,2,NA,NA
"1315",NA,"Female","1",NA,NA,NA,NA,NA,2,NA,NA
"1316","Very good","Female","1","2",5,1,1,5,2,10,10
"1317",NA,"Female","1",NA,NA,5,0,0,2,0,0
"1318",NA,"Female","1","1",5,0,0,10,NA,10,10
"1319",NA,"Female","0","1",NA,NA,NA,10,2,10,NA
"1320",NA,"Male","0","2",NA,0,0,10,2,10,10
"1321","Fairly good","Male","0","2",NA,1,0,10,2,10,10
"1322","Fairly good","Male","0","1",5,5,7,10,2,10,10
"1323","Fairly good","Male","1",NA,NA,1,3,9,1,8,10
"1324",NA,"Female","0","2",NA,NA,NA,NA,2,10,10
"1325","Very good","Female","0","1",1,1,3,8,1,5,10
"1326","Fairly good","Female","0","1",5,4,8,8,1,9,8
"1327","Fairly good","Female","0","1",NA,1,8,10,1,5,1
"1328","Fairly bad","Male","0","1",NA,5,5,10,3,7,5
"1329",NA,"Female","0","1",9,NA,NA,NA,1,NA,NA
"1330","Very good","Female","1","1",NA,1,0,10,1,10,10
"1331","Fairly good","Female","0","2",5,9,3,9,2,8,9
"1332","Fairly good","Female","0","1",5,2,2,5,2,9,9
"1333","Fairly good","Female","1","2",6,4,3,5,2,9,8
"1334","Fairly good","Male","0","2",6,1,3,9,2,8,10
"1335","Fairly good","Female","0","2",NA,3,5,6,1,8,10
"1336","Fairly bad","Female","0","2",6,7,5,6,2,3,6
"1337","Fairly good","Male","0","2",5,8,6,6,1,4,6
"1338","Fairly bad","Female","0","1",9,1,6,8,1,4,5
"1339",NA,"Male","0","1",5,4,9,8,2,8,10
"1340",NA,"Female","0","1",NA,2,NA,NA,1,10,NA
"1341","Very good","Male","0","2",6,5,10,10,1,10,10
"1342","Very good","Female","0","1",5,1,10,10,2,10,10
"1343","Very good","Female","0","2",10,2,10,10,1,10,10
"1344","Very good","Female","0","2",5,5,9,10,1,10,10
"1345","Very good","Male","0","2",NA,2,1,6,1,8,7
"1346","Fairly good","Female","0","2",5,3,8,9,1,8,10
"1347",NA,"Male","0","2",5,10,5,10,1,8,10
"1348","Very bad","Female","0","1",6,5,4,7,2,7,8
"1349",NA,"Female","1",NA,NA,NA,NA,NA,1,NA,NA
"1350",NA,"Female","1","2",6,7,7,8,1,7,7
"1351","Fairly good","Female","0","1",9,6,6,8,1,6,7
"1352","Fairly good","Female","0","1",7,6,7,8,2,6,7
"1353","Fairly good","Female","0","2",7,7,7,8,1,NA,6
"1354","Fairly good","Male","1","2",8,4,9,10,3,7,6
"1355","Fairly bad","Female","1","2",NA,5,9,NA,4,7,5
"1356","Fairly bad","Female","0","2",6,4,5,NA,2,8,NA
"1357",NA,"Female","0","2",NA,6,6,NA,4,4,3
"1358",NA,"Male","0",NA,NA,5,0,10,1,10,10
"1359","Very good","Male","0","2",5,5,9,10,1,8,8
"1360",NA,"Female","1","2",6,10,10,10,NA,10,9
"1361","Very good","Female","0","2",5,8,10,10,3,10,7
"1362","Very good","Female","0","2",10,5,NA,10,1,10,10
"1363","Very good","Female","0","1",8,10,1,10,1,10,10
"1364","Very good","Male","0","2",5,0,0,10,3,10,10
"1365","Fairly bad","Female","1","2",5,1,1,0,2,0,0
"1366","Fairly good","Female","0","2",5,7,8,6,2,8,7
"1367","Very good","Female","0","2",6,3,6,7,1,7,2
"1368","Fairly bad","Female","0","2",6,4,4,1,2,8,2
"1369","Fairly good","Female","0","1",6,3,4,5,1,8,5
"1370","Fairly good","Female","0","1",5,5,7,7,1,3,4
"1371","Fairly bad","Female","0","3",9,3,7,5,2,6,2
"1372","Fairly bad","Male","0","3",5,5,5,4,1,4,8
"1373","Very bad","Male","1","2",6,4,5,3,1,3,1
"1374","Fairly bad","Male","0","2",5,5,5,9,1,3,9
"1375","Fairly good","Female","0","2",NA,1,8,1,2,7,7
"1376","Very good","Male","1","2",NA,1,10,7,1,10,10
"1377","Very good","Female","0","2",NA,4,0,NA,1,NA,9
"1378","Fairly good","Male","0","1",NA,NA,6,NA,2,NA,9
"1379","Very good","Female","0","1",NA,8,6,10,1,9,10
"1380","Very good","Female","0","1",NA,2,0,6,1,6,10
"1381","Fairly good","Female","1","2",5,1,8,6,2,8,5
"1382","Fairly good","Female","0","2",5,1,4,7,2,3,7
"1383","Very good","Female","1","2",5,7,1,7,2,7,10
"1384","Fairly good","Male","1","3",NA,1,1,7,2,7,9
"1385","Fairly bad","Female","1",NA,NA,3,NA,10,2,10,NA
"1386",NA,"Female","1",NA,NA,NA,NA,NA,2,10,NA
"1387",NA,"Female","0",NA,NA,NA,NA,NA,2,NA,NA
"1388",NA,"Male","1",NA,7,2,0,8,1,8,8
"1389","Fairly bad","Male","0","3",5,7,7,5,1,6,7
"1390","Fairly bad","Female","1","2",6,10,7,10,2,9,7
"1391","Fairly bad","Male","0","3",8,4,5,7,1,5,5
"1392","Very bad","Female","1","2",7,10,7,8,3,8,9
"1393","Fairly good","Female","0","2",5,5,10,10,3,10,10
"1394",NA,"Female","1","1",NA,3,1,5,2,10,9
"1395","Fairly good","Male","1","2",NA,0,8,10,2,10,10
"1396","Very good","Male","0","1",3,3,0,7,1,10,10
"1397","Fairly bad","Male","1","1",5,6,0,6,1,10,10
"1398","Fairly bad","Female","0","2",6,10,4,9,2,10,4
"1399","Fairly bad","Male","0","2",6,6,9,8,2,6,9
"1400","Fairly bad","Female","0","3",6,6,5,8,2,8,10
"1401","Fairly good","Female","0","2",7,7,6,9,2,10,10
"1402","Fairly bad","Female","0","2",6,9,8,8,2,5,10
"1403","Fairly bad","Female","0","1",6,10,7,8,2,8,7
"1404","Fairly good","Female","0","2",5,2,4,10,1,10,10
"1405","Very good","Female","1","2",7,1,3,9,1,10,10
"1406","Fairly good","Male","0","2",NA,0,8,6,1,10,10
"1407",NA,"Female","1","2",NA,0,0,10,3,10,10
"1408","Fairly good","Female","0","2",5,6,0,8,2,9,9
"1409","Fairly good","Female","0","2",8,NA,5,8,1,8,10
"1410",NA,"Female","0","2",5,NA,NA,NA,1,NA,10
"1411",NA,"Female","0","1",8,5,7,10,1,10,5
"1412","Fairly good","Male","1","3",5,NA,9,9,2,9,9
"1413","Fairly bad","Female","0","1",7,8,5,10,2,8,10
"1414","Fairly good","Male","1","2",NA,0,10,0,2,10,10
"1415","Fairly good","Female","0","2",NA,3,7,6,2,7,7
"1416","Fairly good","Male","0","2",NA,3,7,7,2,7,7
"1417","Fairly good","Female","0","2",8,2,7,7,1,7,7
"1418","Fairly good","Male","0","2",NA,2,8,7,2,8,8
"1419","Very good","Female","1","2",8,6,8,10,1,10,10
"1420","Fairly good","Male","1","3",10,6,5,5,1,10,10
"1421","Very good","Female","1","3",NA,6,8,10,1,10,10
"1422","Very good","Male","0","1",5,1,10,10,1,10,10
"1423","Very bad","Female","0","2",10,5,5,6,2,8,7
"1424","Fairly good","Male","0","2",5,5,5,3,1,6,9
"1425","Fairly good","Male","0","1",6,8,1,10,1,10,10
"1426","Fairly good","Female","0","1",5,1,1,10,1,9,10
"1427",NA,"Female","0","1",NA,NA,NA,NA,2,NA,NA
"1428","Very good","Female","1","2",5,1,3,6,2,8,10
"1429","Fairly good","Male","0","1",NA,8,3,7,2,8,10
"1430","Very good","Female","1","2",6,10,10,7,2,10,10
"1431","Very good","Male","0","2",10,10,9,10,1,10,10
"1432","Very good","Male","0","2",5,1,10,10,1,10,10
"1433","Fairly good","Female","0","1",8,6,3,NA,3,6,7
"1434","Fairly good","Male","0","2",NA,7,7,8,2,8,7
"1435",NA,"Male","0","2",4,10,7,9,2,8,10
"1436","Fairly good","Male","0","2",8,10,8,9,4,9,7
"1437","Very good","Male","0","2",NA,6,10,5,1,10,10
"1438","Very good","Female","0",NA,NA,NA,10,10,1,10,10
"1439","Very good","Female","1","2",NA,5,8,10,1,9,9
"1440","Very good","Female","0","2",5,3,9,10,4,10,8
"1441","Very good","Female","1","2",10,1,5,10,2,10,10
"1442","Fairly good","Female","0","2",8,5,1,10,2,10,10
"1443","Very good","Male","0","2",NA,8,10,9,2,10,4
"1444","Very good","Female","0","2",8,1,NA,10,2,10,10
"1445","Very good","Male","1","2",6,6,5,NA,1,7,5
"1446","Fairly good","Female","1","2",5,0,0,7,3,9,9
"1447",NA,"Female","0","1",NA,NA,0,8,NA,NA,NA
"1448","Fairly good","Female","1","2",4,0,0,7,2,10,8
"1449","Very bad","Male","0","2",5,1,0,5,NA,9,7
"1450","Fairly good","Female","0","2",NA,3,8,8,1,10,10
"1451","Fairly bad","Male","0","2",NA,5,5,5,4,3,6
"1452","Fairly good","Male","1","2",5,3,3,5,2,4,5
