"","democracy","sex","education","sub_income","left_right_scale","relig_authorities","army_coup","people_obey","national_pride","civil_rights","free_elections"
"1453","Very good","Male","0","2",10,10,1,10,1,10,10
"1454","Very good","Female","0","2",7,2,1,7,3,10,8
"1455","Fairly good","Male","1","2",7,6,6,5,2,8,5
"1456","Fairly bad","Female","0",NA,6,6,6,6,1,5,5
"1457","Fairly bad","Male","1","3",7,5,5,7,4,5,4
"1458","Fairly good","Male","1","2",5,5,7,5,3,10,6
"1459","Fairly good","Male","1","2",5,1,2,5,2,5,5
"1460","Fairly good","Male","1","2",4,1,3,2,3,9,7
"1461","Very bad","Male","1","2",8,5,5,10,3,5,1
"1462","Fairly good","Male","1","2",3,1,1,8,2,10,10
"1463","Fairly good","Female","1","1",NA,0,0,0,4,10,10
"1464","Very good","Female","0","3",10,10,0,5,1,0,1
"1465","Very good","Female","0","1",NA,0,5,10,1,10,0
"1466","Fairly good","Female","0","2",6,7,3,6,2,6,5
"1467",NA,"Female","0","2",8,8,9,9,1,8,9
"1468","Fairly good","Female","1","2",NA,NA,10,10,1,10,10
"1469","Very good","Male","0","3",10,5,9,8,1,10,5
"1470","Fairly good","Female","0","2",10,5,10,9,1,10,5
"1471",NA,"Female","0","2",NA,0,9,NA,3,10,10
"1472","Fairly bad","Female","0","1",NA,0,9,0,1,9,10
"1473",NA,"Female","0","1",NA,0,8,0,1,9,10
"1474","Very good","Female","0","1",5,5,10,10,1,10,5
"1475","Fairly good","Male","0","1",5,NA,10,1,1,10,10
"1476","Fairly good","Female","0","1",NA,4,NA,0,NA,10,0
"1477","Very good","Female","0","1",NA,NA,0,10,1,9,10
"1478","Very good","Female","0","2",NA,2,1,3,2,10,10
"1479","Very bad","Female","1","1",NA,NA,NA,5,1,10,10
"1480",NA,"Male","1",NA,NA,0,NA,5,1,10,10
"1481","Fairly good","Female","1","2",7,6,0,7,1,10,10
"1482","Fairly bad","Female","0","1",2,1,0,5,2,10,10
"1483","Fairly good","Male","0","2",6,1,1,NA,1,10,10
"1484","Fairly bad","Female","1","2",7,8,7,7,2,7,8
"1485","Fairly good","Female","1","2",5,7,6,10,1,6,6
"1486","Fairly good","Female","1","3",8,8,7,7,2,8,9
"1487","Fairly good","Female","0","3",7,7,8,8,1,8,8
"1488","Fairly good","Male","0","1",3,1,1,6,1,10,10
"1489","Fairly good","Female","0","1",4,4,4,5,2,7,10
"1490",NA,"Female","0","1",NA,1,4,5,NA,7,10
"1491","Fairly good","Female","1","2",1,NA,NA,1,2,10,10
"1492","Fairly bad","Male","0","3",6,7,8,9,2,7,10
"1493","Very good","Female","0","2",6,8,6,5,3,6,7
"1494","Fairly bad","Male","0","2",7,6,5,7,2,6,5
"1495","Fairly bad","Male","0","2",7,4,10,7,3,10,10
"1496","Fairly good","Female","0","2",6,4,7,6,2,5,9
"1497","Fairly good","Female","0","1",6,8,7,7,1,6,6
"1498","Fairly good","Male","0","2",NA,2,7,5,2,9,8
"1499","Fairly bad","Female","1","2",NA,2,8,7,1,5,8
"1500","Fairly good","Male","0","2",NA,3,9,6,2,9,7
"1501","Very good","Male","0","2",NA,NA,NA,8,2,8,9
"1502","Very good","Female","0","2",7,2,8,4,1,8,7
"1503","Very bad","Female","0","2",7,6,5,4,4,6,5
"1504","Very bad","Male","1","2",6,6,6,8,2,5,5
"1505","Fairly bad","Female","1","2",8,8,6,8,4,7,9
"1506","Very bad","Male","0","2",8,8,7,9,3,7,7
"1507","Fairly good","Male","0","2",NA,1,8,6,1,6,9
"1508","Very good","Female","0","2",7,NA,1,10,2,5,10
"1509","Fairly good","Female","0","1",5,8,10,1,2,8,7
"1510","Fairly bad","Male","0","2",5,4,5,9,3,4,3
"1511","Fairly good","Male","0","2",5,5,5,3,1,3,8
"1512","Fairly good","Male","0","2",NA,NA,NA,7,2,10,1
"1513","Fairly good","Male","1","2",6,6,6,6,2,7,6
"1514","Very bad","Male","1","3",8,7,7,8,1,6,7
"1515","Fairly good","Female","1","2",NA,3,5,NA,1,10,10
"1516","Fairly good","Female","0","2",NA,3,5,3,2,10,10
"1517","Fairly good","Female","0","1",NA,NA,5,10,NA,10,10
"1518","Very good","Male","0","2",4,7,4,1,2,10,10
"1519","Very good","Male","1","2",2,1,5,1,1,10,10
"1520","Fairly bad","Male","0","3",5,6,8,6,1,6,5
"1521","Very good","Female","1",NA,10,0,8,0,2,8,0
"1522","Fairly bad","Male","0","3",8,6,6,10,2,10,7
"1523","Fairly good","Female","0","3",6,9,7,10,3,2,6
"1524","Fairly good","Female","0","2",NA,0,7,10,2,7,5
"1525",NA,"Female","0","2",NA,1,10,5,3,10,10
"1526","Fairly good","Male","1","2",NA,NA,NA,10,2,10,10
"1527",NA,"Female","1","2",NA,1,10,10,2,10,10
"1528","Very bad","Male","0","2",NA,7,6,8,4,6,5
"1529","Very bad","Female","1","2",6,2,8,6,2,8,2
"1530","Fairly good","Female","0","3",5,6,8,6,1,4,6
"1531","Fairly bad","Female","0","1",5,2,9,8,1,10,9
"1532","Fairly good","Male","1","2",5,7,3,2,2,9,8
"1533","Very good","Female","1","2",3,10,4,0,1,5,10
"1534","Fairly good","Male","0","2",5,0,0,7,1,10,10
"1535","Very bad","Female","0","3",5,8,8,7,1,9,7
"1536",NA,"Female","1","2",7,4,8,10,1,0,1
"1537","Very good","Female","1","2",10,10,1,5,4,1,10
"1538","Fairly good","Male","0","3",5,6,4,5,1,7,9
"1539","Fairly good","Female","0","1",NA,0,0,10,2,10,10
"1540","Fairly good","Female","0","2",NA,5,0,10,1,10,10
"1541","Fairly good","Female","1","2",NA,0,0,10,2,10,10
"1542","Fairly good","Male","0","2",NA,0,10,10,1,10,10
"1543","Fairly bad","Female","1","2",2,8,4,4,3,8,7
"1544","Fairly good","Female","0","2",8,10,9,7,1,NA,9
"1545","Fairly bad","Female","0","2",7,6,5,7,3,6,8
"1546","Very bad","Male","0","2",4,5,2,8,NA,4,3
"1547","Very bad","Female","1","2",9,5,6,7,3,8,4
"1548","Fairly good","Male","0","3",1,8,9,5,1,6,4
"1549","Fairly good","Male","0","1",NA,3,2,9,2,10,10
"1550","Fairly good","Female","1","1",6,1,2,10,2,10,10
"1551","Fairly good","Female","1","2",6,0,0,8,2,10,10
"1552","Fairly good","Female","1","3",NA,0,0,10,2,10,10
"1553","Fairly bad","Male","1","2",6,0,NA,7,1,6,7
"1554","Fairly good","Male","0","3",6,5,6,6,3,4,6
"1555","Fairly bad","Female","1","1",6,6,8,7,2,7,6
"1556","Fairly good","Male","0","2",NA,6,4,6,2,7,7
"1557","Fairly good","Male","0","2",NA,5,6,8,2,9,6
"1558","Fairly good","Female","0","2",NA,5,7,8,1,10,10
"1559","Fairly good","Male","0","2",5,2,NA,10,1,10,10
"1560",NA,"Female","0","1",3,NA,NA,10,2,10,10
"1561",NA,"Female","0","2",NA,NA,NA,7,2,10,10
"1562","Fairly good","Female","1","2",6,NA,NA,9,1,10,10
"1563","Fairly good","Female","0","2",NA,0,0,10,2,10,10
"1564",NA,"Female","0","1",NA,1,0,7,2,10,10
"1565","Fairly good","Female","0","1",1,2,0,10,2,10,9
"1566","Fairly good","Female","0","2",5,0,0,10,2,8,10
"1567","Fairly good","Female","0","2",NA,8,9,9,1,9,8
"1568",NA,"Female","0","2",7,NA,NA,8,2,10,9
"1569","Fairly good","Female","1","2",NA,8,9,9,1,9,10
"1570","Fairly good","Female","1","1",9,6,9,9,1,9,9
"1571","Fairly good","Female","1","1",3,1,4,8,1,7,10
"1572","Fairly good","Male","1","1",4,1,9,10,2,10,10
"1573","Fairly good","Female","0","1",NA,2,9,9,1,9,10
"1574",NA,"Female","0","1",NA,NA,NA,1,1,10,5
"1575","Very good","Male","0","2",10,1,1,10,1,10,10
"1576","Fairly bad","Male","0","2",5,1,5,5,2,9,9
"1577",NA,"Female","0","2",NA,1,5,NA,2,NA,10
"1578","Very good","Male","1","2",5,5,5,10,1,8,9
"1579",NA,"Female","0","2",5,3,10,10,1,10,10
"1580","Fairly good","Female","0","1",NA,10,1,10,2,10,1
"1581","Fairly good","Female","0","2",NA,0,7,8,2,10,10
"1582","Fairly good","Female","1","2",7,1,1,7,1,10,10
"1583","Fairly good","Female","0","2",10,10,1,10,2,10,10
"1584","Fairly good","Female","0","1",NA,0,0,10,1,9,10
"1585","Fairly good","Male","1","2",NA,1,8,9,2,9,10
"1586",NA,"Female","0","1",NA,1,6,8,2,8,10
"1587","Fairly good","Female","1","1",NA,1,10,10,2,10,10
"1588","Fairly good","Male","1","1",NA,2,10,10,1,10,10
"1589","Very good","Male","0","1",NA,2,7,9,2,8,10
"1590","Fairly bad","Female","0","2",NA,2,4,5,1,9,2
"1591","Very good","Female","0","1",5,3,8,5,1,8,6
"1592",NA,"Female","0",NA,NA,NA,10,10,1,10,10
"1593","Very good","Male","0","2",5,NA,NA,NA,2,NA,NA
"1594","Very good","Male","0","2",5,7,5,6,1,7,9
"1595","Fairly bad","Male","1","3",7,8,1,9,2,10,6
"1596","Very good","Male","0","2",8,10,10,10,4,10,10
"1597","Fairly bad","Male","0","1",NA,NA,NA,NA,1,NA,NA
"1598","Fairly bad","Male","0","2",7,5,0,1,2,10,10
"1599","Fairly bad","Male","0","2",6,1,3,5,2,10,10
"1600","Fairly bad","Male","1","2",5,4,1,1,2,10,10
"1601","Fairly bad","Female","1","2",NA,3,3,10,1,10,10
"1602","Fairly good","Male","0","1",NA,7,9,9,2,9,8
"1603","Fairly good","Female","1","2",NA,6,5,10,1,10,10
"1604","Fairly bad","Female","0","2",NA,5,6,9,1,9,8
"1605","Fairly good","Female","0","1",6,7,5,5,1,6,5
"1606","Fairly good","Female","1","2",6,6,6,6,1,5,5
"1607","Fairly good","Female","0","2",6,5,4,6,1,4,5
"1608","Fairly good","Female","0","1",NA,0,0,5,2,10,10
"1609",NA,"Male","0","2",5,10,1,4,1,10,10
"1610","Very good","Male","1","2",NA,NA,1,10,1,10,10
"1611","Very good","Male","0","1",5,8,10,10,2,10,8
"1612","Very good","Female","0","2",5,9,4,10,2,8,7
"1613","Very good","Female","0","2",5,8,10,10,2,10,7
"1614","Very good","Male","0","2",5,4,10,7,2,10,8
"1615","Very good","Male","0","2",8,NA,5,5,2,10,10
"1616","Fairly good","Female","0","2",5,1,3,10,2,10,10
"1617",NA,"Female","0","2",5,9,10,10,2,10,10
"1618",NA,"Female","0","2",7,8,10,10,2,8,10
"1619",NA,"Male","0","2",NA,8,4,10,3,10,10
"1620","Fairly good","Male","0","2",4,0,0,6,1,10,10
"1621","Fairly good","Female","0","2",5,10,5,1,NA,1,10
"1622","Fairly good","Female","0","1",NA,2,5,9,2,10,10
"1623","Very good","Female","0","1",NA,1,1,10,1,10,10
"1624","Fairly bad","Male","1","1",1,2,2,10,1,9,9
"1625","Fairly good","Male","1","2",3,8,4,7,NA,6,1
"1626","Fairly good","Male","0","1",6,7,5,6,1,7,8
"1627","Fairly bad","Male","1","3",5,1,5,5,1,5,10
"1628","Fairly good","Female","0","2",NA,0,10,10,1,10,10
"1629","Fairly good","Male","0","2",3,0,0,8,1,10,10
"1630","Fairly good","Female","0","1",NA,0,0,10,2,10,10
"1631","Fairly good","Male","0","2",NA,1,0,NA,2,10,10
"1632",NA,"Female","0","1",5,7,10,NA,2,9,9
"1633","Fairly good","Male","0","2",7,8,10,10,1,10,10
"1634","Fairly good","Male","0","2",4,5,10,10,2,10,10
"1635","Fairly good","Female","1","1",NA,1,1,8,2,10,10
"1636","Very good","Male","0","1",NA,0,2,5,1,10,10
"1637",NA,"Male","0","2",NA,1,3,6,3,10,10
"1638",NA,"Male","0","2",NA,NA,NA,10,1,NA,NA
"1639","Fairly good","Female","1","2",5,0,4,7,2,8,10
"1640","Very good","Female","0","2",8,6,NA,7,2,7,6
"1641","Fairly good","Female","0","2",5,10,9,9,1,9,9
"1642","Fairly good","Female","0","1",NA,7,3,10,1,10,10
"1643","Fairly bad","Male","0","1",NA,4,4,10,1,10,8
"1644","Fairly bad","Female","0","1",NA,5,7,10,1,10,10
"1645","Fairly bad","Female","0","1",NA,6,10,8,1,5,9
"1646","Fairly bad","Female","0","2",NA,8,6,10,1,10,10
"1647","Fairly good","Male","0","2",5,3,4,5,3,7,5
"1648","Fairly good","Male","0","1",5,4,10,10,1,8,10
"1649","Fairly good","Male","0","2",8,7,5,6,1,5,5
"1650","Very good","Female","1","2",8,4,7,3,1,5,4
"1651","Very good","Female","0","2",6,0,4,0,3,10,10
"1652","Fairly good","Male","0","2",NA,0,1,10,1,10,10
"1653","Very bad","Female","0","2",6,0,5,8,2,8,8
"1654","Fairly bad","Male","0","2",6,NA,NA,3,2,8,10
"1655","Fairly bad","Male","0","2",NA,NA,NA,10,1,10,10
"1656","Fairly good","Male","0","1",NA,8,8,10,1,8,7
"1657","Fairly good","Male","1","2",5,1,4,7,3,7,10
"1658","Very good","Female","0","1",5,4,6,5,1,4,6
"1659","Very good","Female","0","1",4,6,4,6,2,6,4
"1660","Fairly bad","Male","0","1",5,7,5,NA,2,7,5
"1661",NA,"Female","1","2",NA,1,3,7,2,10,10
"1662","Fairly bad","Female","1","2",6,NA,5,7,2,9,9
"1663","Fairly bad","Male","0","2",5,NA,4,6,2,5,6
"1664","Fairly good","Male","0","2",5,6,9,6,2,8,5
"1665",NA,"Female","0","1",NA,1,NA,10,NA,10,NA
"1666","Fairly good","Male","0","1",NA,1,6,5,4,10,NA
"1667","Fairly good","Male","1","2",5,1,1,5,2,5,7
"1668","Fairly good","Female","1","2",5,0,0,5,2,6,9
"1669","Fairly good","Male","1","2",8,1,0,10,1,NA,10
"1670","Fairly good","Female","0","1",5,1,5,8,1,10,7
"1671","Fairly good","Female","1","2",10,0,NA,NA,1,10,10
"1672","Fairly good","Female","0","1",10,1,8,7,1,10,10
"1673","Fairly good","Female","0","1",8,1,3,5,1,10,8
"1674","Very good","Female","0","1",8,1,5,10,1,10,8
"1675","Very good","Female","1","2",5,1,1,6,2,6,8
"1676","Fairly good","Male","1","2",5,1,1,5,2,5,6
"1677","Fairly good","Male","1","2",5,1,1,5,2,6,5
"1678","Fairly good","Female","0","1",5,8,9,10,2,9,7
"1679","Fairly good","Female","0","2",5,9,8,10,2,9,6
"1680","Fairly good","Female","0","2",5,9,9,9,2,10,8
"1681","Very good","Female","0","1",NA,1,10,10,1,9,7
"1682","Very good","Female","1","2",NA,10,2,3,2,3,7
"1683","Very good","Female","0","2",NA,10,3,5,2,8,8
"1684","Very good","Male","0","2",NA,9,2,NA,2,NA,4
"1685","Fairly good","Male","1","2",6,9,2,5,2,5,8
"1686","Fairly good","Male","1","2",5,1,1,10,2,6,10
"1687","Fairly good","Male","0","2",5,6,7,4,2,5,10
"1688","Fairly good","Female","0","2",5,1,1,10,3,10,10
"1689","Very good","Male","0","2",10,3,3,10,1,10,10
"1690","Fairly bad","Male","0","2",5,1,5,8,3,9,6
"1691","Fairly good","Female","0","1",5,1,10,10,2,10,3
"1692","Fairly good","Female","1","2",7,2,10,10,2,10,10
"1693","Fairly good","Female","1","2",8,1,9,10,1,10,10
"1694","Very good","Male","0","1",10,1,7,10,1,10,10
"1695","Very good","Male","0","2",NA,NA,10,10,1,10,10
"1696",NA,"Male","0","1",NA,NA,10,10,1,10,10
"1697","Fairly good","Female","0","2",NA,8,7,4,2,3,6
"1698",NA,"Male","1",NA,10,NA,2,6,2,9,6
"1699","Fairly good","Male","0","3",NA,4,9,7,2,8,7
"1700","Very good","Female","0","2",NA,5,NA,8,2,NA,NA
"1701","Fairly bad","Male","1","2",6,1,2,6,2,3,1
"1702","Fairly bad","Female","0","1",6,6,7,7,2,7,6
"1703","Fairly good","Female","0","2",7,6,7,6,1,6,7
"1704","Fairly good","Female","1","2",6,6,7,8,2,8,7
"1705","Fairly good","Male","0","2",8,4,8,7,3,4,6
"1706","Fairly good","Male","1","1",8,3,10,3,1,10,10
"1707","Fairly good","Male","0","1",9,1,6,8,1,10,6
"1708","Fairly good","Female","0","2",NA,2,9,10,1,10,10
"1709","Fairly good","Male","0","2",8,0,10,10,1,10,10
"1710","Fairly good","Female","0","2",4,2,2,5,2,10,10
"1711","Fairly bad","Male","1","2",1,1,NA,NA,3,NA,1
"1712","Very good","Female","0","2",4,10,3,5,1,9,10
"1713",NA,"Male","0","3",8,NA,NA,9,1,NA,9
"1714",NA,"Male","1","1",NA,1,10,NA,NA,NA,1
"1715","Fairly good","Female","1","2",7,8,7,8,2,7,8
"1716","Fairly bad","Male","0","2",7,5,7,5,1,6,6
"1717","Fairly good","Female","0","2",6,5,10,9,2,8,8
"1718","Fairly bad","Male","0","2",7,6,9,5,1,4,3
"1719","Fairly good","Male","1","2",6,7,8,7,2,7,7
"1720","Fairly bad","Male","1","2",7,8,8,7,1,7,8
"1721","Fairly good","Female","0","1",6,4,5,4,2,4,5
"1722","Very good","Female","0","2",NA,10,10,10,2,10,10
"1723",NA,"Female","0","2",NA,10,NA,10,1,10,10
"1724",NA,"Female","0","2",NA,0,NA,NA,NA,10,10
"1725",NA,"Male","0","2",NA,NA,NA,5,2,10,10
"1726","Fairly good","Female","0","2",NA,NA,5,5,2,10,10
"1727","Very good","Female","0","1",10,1,9,10,1,10,9
"1728",NA,"Male","0","2",8,5,7,8,1,6,5
"1729",NA,"Male","0","2",6,2,7,8,1,10,10
"1730","Fairly good","Male","0","2",5,1,1,5,2,5,5
"1731","Fairly good","Female","1","2",5,5,4,6,2,4,4
"1732","Fairly good","Male","1","2",NA,0,0,7,1,10,10
"1733","Very good","Male","1","2",2,1,1,NA,1,10,10
"1734","Very good","Female","1","2",NA,6,4,8,1,NA,10
"1735","Fairly good","Male","0","1",NA,6,5,7,2,7,9
"1736","Fairly good","Female","1","2",NA,0,0,7,1,7,7
"1737","Very good","Male","0","2",5,1,1,10,1,10,10
"1738","Very bad","Female","0","2",6,1,5,10,2,5,10
"1739","Fairly bad","Male","0","2",NA,5,5,10,2,5,5
"1740","Fairly good","Female","1","3",8,1,3,2,2,2,2
"1741",NA,"Female","0","2",8,5,6,4,1,5,5
"1742","Very bad","Male","0","3",5,10,9,4,2,3,10
"1743","Very bad","Male","0","2",5,6,6,2,1,6,5
"1744","Fairly good","Female","0","2",1,NA,NA,NA,2,NA,NA
"1745",NA,"Female","0","3",7,8,7,7,1,7,8
"1746","Fairly good","Male","0","1",NA,1,1,10,1,10,10
"1747","Fairly good","Female","0","2",5,5,5,5,2,9,5
"1748","Fairly bad","Male","0","1",2,1,3,7,2,6,10
"1749","Fairly good","Male","0","1",5,5,9,8,2,8,7
"1750","Fairly good","Female","0","2",NA,NA,8,NA,2,10,4
"1751","Fairly good","Female","0","1",5,7,10,7,2,8,6
"1752","Fairly good","Female","0","2",NA,8,8,8,2,8,6
"1753","Fairly good","Female","1","2",5,7,7,7,3,7,7
"1754","Fairly good","Female","0","1",7,2,8,8,1,10,8
"1755","Fairly good","Female","0","1",NA,8,9,8,2,9,NA
"1756","Very bad","Female","1","2",5,3,3,8,1,8,2
"1757","Fairly good","Female","0","1",NA,NA,NA,NA,1,NA,NA
"1758","Fairly good","Female","1","2",NA,2,3,9,2,10,8
"1759","Fairly good","Female","0","2",NA,4,3,8,2,10,7
"1760","Very bad","Male","1","2",NA,5,6,4,1,5,5
"1761",NA,"Female","0","3",NA,4,5,5,1,7,4
"1762","Very bad","Male","1","1",5,1,6,6,2,6,NA
"1763",NA,"Female","1","1",NA,NA,NA,NA,2,10,10
"1764","Fairly bad","Female","0","1",NA,NA,NA,NA,3,NA,NA
"1765",NA,"Female","1","1",NA,NA,NA,NA,NA,NA,NA
"1766",NA,"Male","1","3",8,4,6,6,2,4,4
"1767","Fairly bad","Male","1","3",5,4,5,6,1,4,4
"1768",NA,"Male","1","3",NA,5,7,6,1,5,5
"1769",NA,"Female","0","3",6,7,5,5,1,6,6
"1770","Fairly good","Male","1","2",NA,0,0,10,2,10,10
"1771","Very good","Female","0","2",6,0,0,10,1,10,10
"1772","Fairly good","Male","0","1",8,3,2,9,1,7,7
"1773","Fairly good","Male","0","1",5,1,5,9,1,10,10
"1774","Fairly good","Male","0","1",3,1,1,9,1,9,7
"1775","Very good","Female","1","1",NA,1,10,8,1,8,10
"1776","Very good","Female","1","2",NA,3,6,10,2,7,7
"1777","Very good","Female","0","2",NA,4,4,10,1,6,10
"1778",NA,"Female","1","1",NA,0,NA,NA,NA,10,10
"1779","Very bad","Female","0","1",6,1,6,6,3,6,NA
"1780",NA,"Female","1",NA,NA,5,8,9,NA,8,8
"1781","Very bad","Male","1","2",NA,2,6,6,1,5,4
"1782","Very bad","Male","0","3",NA,3,5,3,2,4,3
"1783","Fairly good","Female","0","2",NA,3,3,6,1,6,7
"1784","Fairly good","Female","0","2",NA,1,1,9,1,10,10
"1785","Very good","Male","0","2",NA,1,4,10,1,10,10
"1786","Fairly good","Female","1","2",10,4,1,9,1,9,10
"1787","Fairly good","Male","1","2",NA,1,7,0,3,6,10
"1788","Fairly good","Female","0","2",5,3,7,0,2,7,3
"1789","Fairly good","Male","1","2",NA,3,7,0,2,10,8
"1790",NA,"Female","0","1",NA,0,8,6,1,NA,6
"1791","Fairly good","Male","1","2",NA,2,3,9,2,10,8
"1792","Fairly bad","Female","1","2",5,5,4,7,1,8,7
"1793","Fairly good","Female","0","1",NA,4,5,6,2,10,10
"1794","Very bad","Male","1","2",3,3,4,3,1,4,3
"1795","Fairly bad","Female","0","1",5,1,3,5,2,1,1
"1796","Very good","Male","1",NA,NA,6,4,8,2,8,10
"1797","Fairly good","Male","1","1",NA,6,7,7,2,5,7
"1798","Fairly good","Male","0","2",5,2,5,6,1,7,4
"1799","Very good","Male","1","3",4,1,10,1,2,1,5
"1800","Very good","Female","1","3",3,NA,NA,NA,1,NA,NA
"1801","Very bad","Female","0","2",NA,0,1,NA,1,10,NA
"1802","Very good","Male","0","1",NA,1,1,1,1,10,10
"1803","Fairly good","Female","1","2",8,2,2,8,2,10,8
"1804","Fairly good","Female","1","2",5,4,4,9,1,9,9
"1805",NA,"Female","0","2",NA,10,0,NA,1,NA,10
"1806",NA,"Male","0","3",2,1,1,1,1,1,10
"1807","Fairly bad","Male","1","2",5,1,0,8,1,10,10
"1808",NA,"Male","0","1",NA,2,0,8,2,9,10
"1809",NA,"Female","0","2",5,NA,NA,5,1,10,10
"1810",NA,"Male","0","2",5,NA,NA,NA,1,NA,NA
